Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),Smog Rating,AllOrFourWheelDrive,NumberOfGears,isCVT,Log Fuel Consumption(Comb (L/100 km)),Log CO2 Emissions(g/km),Log Engine Size(L),Log Fuel Consumption(Hwy (L/100 km)),Log Fuel Consumption(City (L/100 km))
Audi,Large,2.0,smaller/equal to 5,AM,H,10.5,7.9,9.4,30,218,7,True,7.0,False,2.2407096892759584,5.384495062789089,0.6931471805599453,2.066862759472976,2.3513752571634776
Audi,Smallest,2.0,smaller/equal to 5,AM,H,10.5,7.9,9.4,30,218,7,True,7.0,False,2.2407096892759584,5.384495062789089,0.6931471805599453,2.066862759472976,2.3513752571634776
Audi,Large,2.5,smaller/equal to 5,AM,L,11.7,8.1,10.1,28,235,3,True,7.0,False,2.312535423847214,5.459585514144159,0.9162907318741551,2.0918640616783932,2.4595888418037104
Audi,Large,2.0,smaller/equal to 5,AM,L,10.0,7.7,9.0,31,209,3,True,7.0,False,2.1972245773362196,5.342334251964811,0.6931471805599453,2.0412203288596382,2.302585092994046
Bentley,SUV: Standard,4.0,larger/equal to 8,AS,L,15.8,9.9,13.2,21,309,3,False,8.0,False,2.580216829592325,5.733341276897746,1.3862943611198906,2.2925347571405443,2.760009940032921
Bentley,SUV: Standard,6.0,larger/equal to 8,AS,L,19.0,13.0,16.3,17,383,3,False,8.0,False,2.791165107812717,5.948034989180646,1.791759469228055,2.5649493574615367,2.9444389791664403
Bentley,Large,4.0,larger/equal to 8,AM,L,14.9,9.0,12.2,23,287,3,False,8.0,False,2.501435951739211,5.659482215759621,1.3862943611198906,2.1972245773362196,2.7013612129514133
Bentley,Large,6.0,larger/equal to 8,AM,L,19.6,12.0,16.2,17,379,3,False,8.0,False,2.785011242238338,5.937536205082426,1.791759469228055,2.4849066497880004,2.975529566236472
Bentley,Smallest,4.0,larger/equal to 8,AM,L,15.2,9.2,12.5,23,294,3,False,8.0,False,2.5257286443082556,5.683579767338681,1.3862943611198906,2.2192034840549946,2.7212954278522306
Bentley,Smallest,6.0,larger/equal to 8,AM,L,20.3,12.9,17.0,17,395,3,False,8.0,False,2.833213344056216,5.978885764901122,1.791759469228055,2.5572273113676265,3.0106208860477417
Bentley,Mid-size,4.0,larger/equal to 8,AM,L,15.5,11.6,13.7,21,323,3,False,8.0,False,2.617395832834079,5.777652323222656,1.3862943611198906,2.451005098112319,2.740840023925201
Bentley,Mid-size,6.0,larger/equal to 8,AM,L,19.2,12.2,16.0,18,373,3,False,8.0,False,2.772588722239781,5.921578419643816,1.791759469228055,2.501435951739211,2.954910279033736
BMW,Large,2.0,smaller/equal to 5,AS,L,9.5,6.9,8.3,34,195,7,True,8.0,False,2.1162555148025524,5.272999558563747,0.6931471805599453,1.9315214116032138,2.2512917986064953
BMW,Large,2.0,smaller/equal to 5,AS,L,10.0,7.1,8.7,32,202,7,True,8.0,False,2.163323025660538,5.308267697401205,0.6931471805599453,1.9600947840472698,2.302585092994046
BMW,Large,2.0,smaller/equal to 5,AS,L,10.0,7.1,8.7,32,202,7,True,8.0,False,2.163323025660538,5.308267697401205,0.6931471805599453,1.9600947840472698,2.302585092994046
BMW,Mid-size,2.0,smaller/equal to 5,AS,L,10.1,7.4,8.9,32,206,7,True,8.0,False,2.186051276738094,5.327876168789581,0.6931471805599453,2.0014800002101243,2.312535423847214
BMW,Small,3.0,equal to 6,AS,L,10.5,8.1,9.4,30,219,5,True,8.0,False,2.2407096892759584,5.389071729816501,1.0986122886681098,2.0918640616783932,2.3513752571634776
BMW,Small,4.4,larger/equal to 8,AS,L,13.9,9.6,12.0,24,279,3,True,8.0,False,2.4849066497880004,5.631211781821365,1.4816045409242156,2.2617630984737906,2.631888840136646
BMW,Small,4.4,larger/equal to 8,AS,L,13.9,9.6,12.0,24,279,3,True,8.0,False,2.4849066497880004,5.631211781821365,1.4816045409242156,2.2617630984737906,2.631888840136646
BMW,Small,4.4,larger/equal to 8,AS,L,13.9,9.6,12.0,24,279,3,False,8.0,False,2.4849066497880004,5.631211781821365,1.4816045409242156,2.2617630984737906,2.631888840136646
BMW,Mid-size,4.4,larger/equal to 8,AS,L,13.9,9.6,12.0,24,279,3,False,8.0,False,2.4849066497880004,5.631211781821365,1.4816045409242156,2.2617630984737906,2.631888840136646
BMW,SUV: Standard,4.4,larger/equal to 8,AS,L,15.7,11.5,13.8,20,321,3,False,8.0,False,2.624668592163159,5.771441123130016,1.4816045409242156,2.4423470353692043,2.7536607123542622
BMW,Large,2.0,smaller/equal to 5,AS,L,10.4,7.8,9.2,31,214,3,True,8.0,False,2.2192034840549946,5.365976015021851,0.6931471805599453,2.0541237336955462,2.341805806147327
BMW,Large,3.0,equal to 6,AS,L,10.4,7.5,9.1,31,212,5,True,8.0,False,2.2082744135228043,5.356586274672012,1.0986122886681098,2.0149030205422647,2.341805806147327
BMW,Large,3.0,equal to 6,M,L,14.7,10.1,12.6,22,293,5,False,smaller/equal to 6,False,2.533696813957432,5.680172609017068,1.0986122886681098,2.312535423847214,2.6878474937846906
BMW,Large,3.0,equal to 6,AS,L,14.5,10.2,12.6,22,292,5,False,8.0,False,2.533696813957432,5.676753802268282,1.0986122886681098,2.322387720290225,2.6741486494265287
BMW,Large,3.0,equal to 6,AS,L,14.6,10.5,12.7,22,296,5,True,8.0,False,2.5416019934645457,5.69035945432406,1.0986122886681098,2.3513752571634776,2.681021528714291
BMW,Large,3.0,equal to 6,AS,L,10.4,7.7,9.2,31,214,5,True,8.0,False,2.2192034840549946,5.365976015021851,1.0986122886681098,2.0412203288596382,2.341805806147327
BMW,Large,3.0,equal to 6,AS,L,15.1,10.4,12.9,22,301,5,True,8.0,False,2.5572273113676265,5.707110264748875,1.0986122886681098,2.341805806147327,2.714694743820879
BMW,Large,3.0,equal to 6,M,L,14.7,10.1,12.6,22,293,5,False,smaller/equal to 6,False,2.533696813957432,5.680172609017068,1.0986122886681098,2.312535423847214,2.6878474937846906
BMW,Large,3.0,equal to 6,AS,L,14.5,10.2,12.6,22,292,5,False,8.0,False,2.533696813957432,5.676753802268282,1.0986122886681098,2.322387720290225,2.6741486494265287
BMW,Large,3.0,equal to 6,AS,L,14.6,10.5,12.7,22,296,5,True,8.0,False,2.5416019934645457,5.69035945432406,1.0986122886681098,2.3513752571634776,2.681021528714291
BMW,Large,3.0,equal to 6,AS,L,10.4,7.4,9.1,31,211,5,True,8.0,False,2.2082744135228043,5.351858133476067,1.0986122886681098,2.0014800002101243,2.341805806147327
BMW,Large,3.0,equal to 6,AS,L,10.4,7.7,9.2,31,214,5,True,8.0,False,2.2192034840549946,5.365976015021851,1.0986122886681098,2.0412203288596382,2.341805806147327
BMW,Large,3.0,equal to 6,AS,L,10.9,8.0,9.6,29,224,5,True,8.0,False,2.2617630984737906,5.4116460518550396,1.0986122886681098,2.0794415416798357,2.388762789235098
BMW,Mid-size,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Mid-size,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Mid-size,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Mid-size,4.4,larger/equal to 8,AS,L,13.5,9.3,11.6,24,271,3,True,8.0,False,2.451005098112319,5.602118820879701,1.4816045409242156,2.2300144001592104,2.6026896854443837
BMW,Small,6.6,larger/equal to 8,AS,L,17.8,11.9,15.1,19,354,3,True,8.0,False,2.714694743820879,5.869296913133774,1.8870696490323797,2.4765384001174837,2.8791984572980396
BMW,Large,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Large,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Large,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Large,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Mid-size,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Mid-size,4.4,larger/equal to 8,AS,L,16.1,11.0,13.8,20,322,3,False,8.0,False,2.624668592163159,5.7745515455444085,1.4816045409242156,2.3978952727983707,2.7788192719904172
BMW,Large,4.4,larger/equal to 8,AS,L,13.9,9.6,12.0,24,279,3,True,8.0,False,2.4849066497880004,5.631211781821365,1.4816045409242156,2.2617630984737906,2.631888840136646
BMW,Large,4.4,larger/equal to 8,AS,L,13.5,9.3,11.6,24,271,3,True,8.0,False,2.451005098112319,5.602118820879701,1.4816045409242156,2.2300144001592104,2.6026896854443837
BMW,Mid-size,4.4,larger/equal to 8,AS,L,13.9,9.6,12.0,24,279,3,True,8.0,False,2.4849066497880004,5.631211781821365,1.4816045409242156,2.2617630984737906,2.631888840136646
BMW,SUV: Small,2.0,smaller/equal to 5,AS,L,10.3,7.7,9.1,31,213,7,True,8.0,False,2.2082744135228043,5.3612921657094255,0.6931471805599453,2.0412203288596382,2.33214389523559
BMW,SUV: Small,2.0,smaller/equal to 5,AS,L,9.9,7.6,8.8,32,207,7,True,8.0,False,2.174751721484161,5.332718793265369,0.6931471805599453,2.028148247292285,2.2925347571405443
BMW,SUV: Small,2.0,smaller/equal to 5,AS,L,9.9,7.6,8.9,32,207,3,False,8.0,False,2.186051276738094,5.332718793265369,0.6931471805599453,2.028148247292285,2.2925347571405443
BMW,SUV: Small,2.0,smaller/equal to 5,AS,L,11.0,8.5,9.9,29,230,7,True,8.0,False,2.2925347571405443,5.438079308923196,0.6931471805599453,2.1400661634962708,2.3978952727983707
BMW,SUV: Small,3.0,equal to 6,AS,L,15.7,11.7,13.9,20,323,3,False,8.0,False,2.631888840136646,5.777652323222656,1.0986122886681098,2.4595888418037104,2.7536607123542622
BMW,SUV: Small,3.0,equal to 6,AS,L,15.7,11.7,13.9,20,323,3,False,8.0,False,2.631888840136646,5.777652323222656,1.0986122886681098,2.4595888418037104,2.7536607123542622
BMW,SUV: Small,3.0,equal to 6,AS,L,11.2,9.1,10.3,27,241,5,False,8.0,False,2.33214389523559,5.484796933490655,1.0986122886681098,2.2082744135228043,2.4159137783010487
BMW,SUV: Small,2.0,smaller/equal to 5,AS,L,11.0,8.5,9.9,29,230,7,True,8.0,False,2.2925347571405443,5.438079308923196,0.6931471805599453,2.1400661634962708,2.3978952727983707
BMW,SUV: Small,3.0,equal to 6,AS,L,15.7,11.7,13.9,20,323,3,False,8.0,False,2.631888840136646,5.777652323222656,1.0986122886681098,2.4595888418037104,2.7536607123542622
BMW,SUV: Small,3.0,equal to 6,AS,L,15.7,11.7,13.9,20,323,3,False,8.0,False,2.631888840136646,5.777652323222656,1.0986122886681098,2.4595888418037104,2.7536607123542622
BMW,SUV: Small,3.0,equal to 6,AS,L,11.2,9.1,10.3,27,241,5,False,8.0,False,2.33214389523559,5.484796933490655,1.0986122886681098,2.2082744135228043,2.4159137783010487
BMW,SUV: Standard,3.0,equal to 6,AS,L,11.3,9.2,10.4,27,241,3,True,8.0,False,2.341805806147327,5.484796933490655,1.0986122886681098,2.2192034840549946,2.424802725718295
BMW,SUV: Standard,4.4,larger/equal to 8,AS,L,17.9,13.0,15.7,18,364,3,False,8.0,False,2.7536607123542622,5.8971538676367405,1.4816045409242156,2.5649493574615367,2.884800712846709
BMW,SUV: Standard,4.4,larger/equal to 8,AS,L,17.9,13.0,15.7,18,364,3,False,8.0,False,2.7536607123542622,5.8971538676367405,1.4816045409242156,2.5649493574615367,2.884800712846709
BMW,SUV: Standard,4.4,larger/equal to 8,AS,L,14.4,10.6,12.7,22,302,3,False,8.0,False,2.5416019934645457,5.71042701737487,1.4816045409242156,2.3608540011180215,2.667228206581955
BMW,SUV: Standard,3.0,equal to 6,AS,L,11.3,9.2,10.4,27,241,3,True,8.0,False,2.341805806147327,5.484796933490655,1.0986122886681098,2.2192034840549946,2.424802725718295
BMW,SUV: Standard,4.4,larger/equal to 8,AS,L,17.9,13.0,15.7,18,364,3,False,8.0,False,2.7536607123542622,5.8971538676367405,1.4816045409242156,2.5649493574615367,2.884800712846709
BMW,SUV: Standard,4.4,larger/equal to 8,AS,L,17.9,13.0,15.7,18,364,3,False,8.0,False,2.7536607123542622,5.8971538676367405,1.4816045409242156,2.5649493574615367,2.884800712846709
